Order ID,Order Date,Category,Website,Condition,Seller,List Price Per Unit,Purchase Price Per Unit,Quantity,Shipment Date,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total
1,2/19/08,ABIS_BOOK,Amazon.com,,Amazon.com,$29.99 ,$19.79 ,1,2/25/08,USPS,$19.79 ,$0.00 ,$19.79 
2,2/19/08,ABIS_BOOK,Amazon.com,,Amazon.com,$27.95 ,$18.45 ,1,2/25/08,USPS,$18.45 ,$0.00 ,$18.45 
3,6/3/08,ABIS_BOOK,Amazon.com,,Amazon.com,$34.99 ,$23.09 ,1,6/4/08,UPS,$23.09 ,$0.00 ,$23.09 
4,11/6/08,BEAUTY,Amazon.com,,SimplyBeautiful,$6.99 ,$9.39 ,1,11/7/08,USPS,$9.39 ,$0.00 ,$9.39 
5,11/6/08,HAIR_STYLING_AGENT,Amazon.com,,SimplyBeautiful,$10.99 ,$7.99 ,1,11/7/08,USPS,$7.99 ,$0.00 ,$7.99 
6,11/6/08,HAIR_STYLING_AGENT,Amazon.com,,SimplyBeautiful,$6.99 ,$5.49 ,1,11/7/08,USPS,$5.49 ,$0.00 ,$5.49 
7,11/6/08,,Amazon.com,,SimplyBeautiful,$6.99 ,$6.99 ,1,11/7/08,USPS,$6.99 ,$0.00 ,$6.99 
8,12/13/08,ABIS_BOOK,Amazon.com,,Amazon.com,$16.95 ,$10.33 ,1,12/14/08,USPS,$10.33 ,$0.00 ,$10.33 
9,12/13/08,ABIS_BOOK,Amazon.com,,Amazon.com,$23.95 ,$15.57 ,1,12/14/08,USPS,$15.57 ,$0.00 ,$15.57 
10,7/18/09,HEALTH_PERSONAL_CARE,Amazon.com,new,Nature and Herbs,$15.99 ,$8.99 ,3,7/19/09,USPS,$26.97 ,$0.00 ,$26.97 
11,8/14/09,OUTDOOR_RECREATION_PRODUCT,Amazon.com,new,Amazon.com,$99.99 ,$79.99 ,1,8/16/09,FEDEX,$79.99 ,$0.00 ,$79.99 
12,9/17/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$24.95 ,$16.47 ,1,9/17/09,UPS,$16.47 ,$0.00 ,$16.47 
13,9/18/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$22.00 ,$12.87 ,1,9/21/09,UPS,$12.87 ,$0.00 ,$12.87 
14,9/18/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$25.00 ,$16.50 ,1,9/21/09,UPS,$16.50 ,$0.00 ,$16.50 
15,11/5/09,,Amazon.com,new,Amazon.com,$37.95 ,$32.53 ,1,11/6/09,USPS,$32.53 ,$0.00 ,$32.53 
16,11/18/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$16.95 ,$13.68 ,1,11/18/09,UPS,$13.68 ,$0.00 ,$13.68 
17,11/19/09,ABIS_BOOK,Amazon.com,new,tabletopart,$19.74 ,$19.74 ,1,11/20/09,UPS MI,$19.74 ,$0.00 ,$19.74 
18,11/20/09,NETWORKING_DEVICE,Amazon.com,new,Amazon.com,$47.99 ,$29.24 ,1,11/20/09,USPS,$29.24 ,$0.00 ,$29.24 
19,11/20/09,,Amazon.com,new,"Hutsell Sports, LLC",$16.95 ,$16.95 ,1,11/20/09,UPS,$16.95 ,$0.00 ,$16.95 
20,12/15/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$29.95 ,$19.77 ,1,12/16/09,UPS,$19.77 ,$0.00 ,$19.77 
21,12/15/09,ABIS_BOOK,Amazon.com,new,Amazon.com,$36.95 ,$24.39 ,1,12/16/09,UPS,$24.39 ,$0.00 ,$24.39 
22,12/21/09,,Amazon.com,new,Super Safety Razors,$37.77 ,$37.77 ,1,12/21/09,UPS,$37.77 ,$0.00 ,$37.77 
23,12/28/09,COMPUTER_DRIVE_OR_STORAGE,Amazon.com,new,Amazon.com,$19.99 ,$19.99 ,1,12/29/09,UPS,$19.99 ,$0.00 ,$19.99 
24,12/30/09,COMPUTER,Amazon.com,new,SquareTrade,$99.99 ,$89.99 ,1,12/30/09,,$89.99 ,$0.00 ,$89.99 
25,1/27/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$15.00 ,$12.82 ,1,1/29/10,USPS,$12.82 ,$0.00 ,$12.82 
26,1/27/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$19.95 ,$13.57 ,1,1/29/10,USPS,$13.57 ,$0.00 ,$13.57 
27,2/11/10,BEAUTY,Amazon.com,new,SB Natural Products,$10.19 ,$11.41 ,1,2/12/10,USPS,$11.41 ,$0.00 ,$11.41 
28,2/11/10,BEAUTY,Amazon.com,new,Wellica Inc,$6.95 ,$9.39 ,1,2/13/10,USPS,$9.39 ,$0.00 ,$9.39 
29,2/11/10,BEAUTY,Amazon.com,new,Wellica Inc,$8.39 ,$7.99 ,2,2/13/10,USPS,$15.98 ,$0.00 ,$15.98 
30,2/19/10,BATTERY,Amazon.com,new,Amazon.com,$4.99 ,$3.19 ,1,2/21/10,USPS,$3.19 ,$0.00 ,$3.19 
31,2/19/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$45.00 ,$24.99 ,1,2/21/10,USPS,$24.99 ,$0.00 ,$24.99 
32,2/21/10,HEALTH_PERSONAL_CARE,Amazon.com,new,Hahnemann Laboratories,$25.95 ,$25.95 ,1,2/24/10,USPS,$25.95 ,$0.00 ,$25.95 
33,2/28/10,MULTIFUNCTION_DEVICE,Amazon.com,new,Amazon.com,$299.99 ,$269.95 ,1,3/3/10,FEDEX,$269.95 ,$0.00 ,$269.95 
34,3/2/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$80.00 ,$50.40 ,1,3/5/10,USPS,$50.40 ,$0.00 ,$50.40 
35,3/2/10,,Amazon.com,new,Amazon.com,$8.35 ,$8.35 ,1,3/5/10,USPS,$8.35 ,$0.00 ,$8.35 
36,3/26/10,OUTDOOR_LIVING,Amazon.com,new,Amazon.com,$15.15 ,$5.19 ,1,3/27/10,USPS,$5.19 ,$0.00 ,$5.19 
37,3/26/10,HEALTH_PERSONAL_CARE,Amazon.com,new,Amazon.com,$20.67 ,$17.74 ,1,3/27/10,USPS,$17.74 ,$0.00 ,$17.74 
38,3/26/10,OFFICE_PRODUCTS,Amazon.com,new,Amazon.com,$1.99 ,$1.99 ,1,3/29/10,USPS,$1.99 ,$0.00 ,$1.99 
39,3/26/10,OFFICE_PRODUCTS,Amazon.com,new,Amazon.com,$1.99 ,$1.99 ,1,3/29/10,USPS,$1.99 ,$0.00 ,$1.99 
40,4/26/10,COMPUTER_DRIVE_OR_STORAGE,Amazon.com,new,Amazon.com,$28.99 ,$14.99 ,1,4/28/10,ONTRAC,$14.99 ,$0.00 ,$14.99 
41,4/26/10,COMPUTER_DRIVE_OR_STORAGE,Amazon.com,new,Amazon.com,$92.99 ,$69.99 ,1,4/28/10,ONTRAC,$69.99 ,$0.00 ,$69.99 
42,4/26/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$3.64 ,$3.64 ,1,5/3/10,USPS,$3.64 ,$0.00 ,$3.64 
43,4/29/10,CABLE_OR_ADAPTER,Amazon.com,new,BarleyBlends,$9.69 ,$9.69 ,1,4/30/10,ONTRAC,$9.69 ,$0.00 ,$9.69 
44,5/9/10,,Amazon.com,new,,$20.00 ,$20.00 ,1,5/17/10,UPS,$20.00 ,$0.00 ,$20.00 
45,5/9/10,NETWORKING_DEVICE,Amazon.com,new,Amazon.com,$7.80 ,$7.80 ,1,5/12/10,ONTRAC,$7.80 ,$0.00 ,$7.80 
46,5/9/10,GROCERY,Amazon.com,new,Black Tie Mercantile,$14.99 ,$10.01 ,1,5/12/10,ONTRAC,$10.01 ,$0.00 ,$10.01 
47,5/9/10,HEALTH_PERSONAL_CARE,Amazon.com,new,Maple Leaf Nutrition,$19.99 ,$12.59 ,1,5/12/10,USPS,$12.59 ,$0.00 ,$12.59 
48,5/27/10,BEAUTY,Amazon.com,new,Amazon.com,$38.99 ,$29.99 ,1,5/27/10,USPS,$29.99 ,$0.00 ,$29.99 
49,5/27/10,HEALTH_PERSONAL_CARE,Amazon.com,new,AmeriMed Direct,$12.99 ,$6.49 ,1,5/27/10,USPS,$6.49 ,$0.00 ,$6.49 
50,6/1/10,HEALTH_PERSONAL_CARE,Amazon.com,new,VapeNow,$9.99 ,$9.99 ,1,6/2/10,USPS,$9.99 ,$0.00 ,$9.99 
51,6/1/10,BEAUTY,Amazon.com,new,SB Natural Products,$7.99 ,$6.45 ,2,6/3/10,USPS,$12.90 ,$0.00 ,$12.90 
52,6/1/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$4.86 ,$4.86 ,2,6/5/10,USPS,$9.72 ,$0.00 ,$9.72 
53,6/1/10,HOME,Amazon.com,new,Amazon.com,$13.99 ,$9.50 ,1,6/6/10,USPS,$9.50 ,$0.00 ,$9.50 
54,6/23/10,COMPUTER_INPUT_DEVICE,Amazon.com,new,365USA,$59.99 ,$20.95 ,1,6/23/10,UPS,$20.95 ,$0.00 ,$20.95 
55,6/26/10,,Amazon.com,new,Wellica Inc,$10.95 ,$9.99 ,1,6/26/10,USPS,$9.99 ,$0.00 ,$9.99 
56,6/26/10,HEALTH_PERSONAL_CARE,Amazon.com,new,DAB Unlimited,$27.98 ,$13.25 ,1,6/30/10,USPS,$13.25 ,$0.00 ,$13.25 
