DATE,ATNHPIUS41884Q
1975-07-01,18.36
1975-10-01,19.35
1976-01-01,19.84
1976-04-01,20.82
1976-07-01,22.4
1976-10-01,23.3
1977-01-01,24.44
1977-04-01,27.05
1977-07-01,28.26
1977-10-01,28.7
1978-01-01,29.35
1978-04-01,30.07
1978-07-01,30.7
1978-10-01,31.74
1979-01-01,33.74
1979-04-01,35.35
1979-07-01,38.14
1979-10-01,40.39
1980-01-01,42.57
1980-04-01,43.9
1980-07-01,45.58
1980-10-01,45.92
1981-01-01,45.45
1981-04-01,46.53
1981-07-01,46.49
1981-10-01,46.25
1982-01-01,44.47
1982-04-01,45.89
1982-07-01,47.32
1982-10-01,46.29
1983-01-01,48.8
1983-04-01,49.54
1983-07-01,49.97
1983-10-01,49.63
1984-01-01,50.23
1984-04-01,51.47
1984-07-01,52.37
1984-10-01,52.82
1985-01-01,53.85
1985-04-01,55.07
1985-07-01,56.85
1985-10-01,58.34
1986-01-01,59.07
1986-04-01,60.92
1986-07-01,63.32
1986-10-01,65.84
1987-01-01,68.33
1987-04-01,70.57
1987-07-01,74.38
1987-10-01,78.3
1988-01-01,82.43
1988-04-01,86.84
1988-07-01,91.67
1988-10-01,98.72
1989-01-01,102.63
1989-04-01,106.96
1989-07-01,111.9
1989-10-01,113.83
1990-01-01,114.31
1990-04-01,113.34
1990-07-01,112.54
1990-10-01,109.76
1991-01-01,107.7
1991-04-01,106.84
1991-07-01,106.6
1991-10-01,107.26
1992-01-01,106.14
1992-04-01,105.3
1992-07-01,105.15
1992-10-01,104.3
1993-01-01,102.94
1993-04-01,102.21
1993-07-01,101.78
1993-10-01,101.71
1994-01-01,101.33
1994-04-01,100.59
1994-07-01,99.99
1994-10-01,98.99
1995-01-01,100.00
1995-04-01,100.1
1995-07-01,100.99
1995-10-01,101.07
1996-01-01,100.84
1996-04-01,100.87
1996-07-01,102.15
1996-10-01,103.52
1997-01-01,105.05
1997-04-01,108.12
1997-07-01,111.8
1997-10-01,114.52
1998-01-01,117.5
1998-04-01,121.42
1998-07-01,126.08
1998-10-01,127.99
1999-01-01,131.02
1999-04-01,136.44
1999-07-01,142.44
1999-10-01,150.45
2000-01-01,159.15
2000-04-01,170.05
2000-07-01,178.28
2000-10-01,184.26
2001-01-01,190.47
2001-04-01,194.18
2001-07-01,195.58
2001-10-01,192.94
2002-01-01,195.5
2002-04-01,200.25
2002-07-01,204.97
2002-10-01,206.9
2003-01-01,208.94
2003-04-01,209.86
2003-07-01,211.91
2003-10-01,218.98
2004-01-01,223.02
2004-04-01,232.44
2004-07-01,249.13
2004-10-01,256.17
2005-01-01,267.07
2005-04-01,283.09
2005-07-01,293.13
2005-10-01,301.43
2006-01-01,305.91
2006-04-01,306.4
2006-07-01,310.58
2006-10-01,306.57
2007-01-01,306.92
2007-04-01,305.76
2007-07-01,305.48
2007-10-01,298.38
2008-01-01,291.27
2008-04-01,279.46
2008-07-01,270.18
2008-10-01,265.87
2009-01-01,261.5
2009-04-01,251.39
2009-07-01,248.22
2009-10-01,249.05
2010-01-01,247.98
2010-04-01,247.65
2010-07-01,248.76
2010-10-01,246.78
2011-01-01,241.17
2011-04-01,238.02
2011-07-01,239.34
2011-10-01,238.87
2012-01-01,238.08
2012-04-01,241.46
2012-07-01,247.27
2012-10-01,254.51
2013-01-01,261.08
2013-04-01,274.45
2013-07-01,291.37
2013-10-01,298.69
2014-01-01,305.75
2014-04-01,318.42
2014-07-01,328.32
2014-10-01,333.78
2015-01-01,338.89
2015-04-01,354.89
2015-07-01,372.54
2015-10-01,381.3
2016-01-01,386.48
2016-04-01,391.2
2016-07-01,400.21
2016-10-01,403.92
2017-01-01,412.36
2017-04-01,420.2
2017-07-01,426.78
2017-10-01,433.5
2018-01-01,449.79
2018-04-01,472.58
2018-07-01,484.38
2018-10-01,475.61
2019-01-01,469.93
2019-04-01,473.44
2019-07-01,476.5
2019-10-01,470.29
