Period,Value
202001,12744
201912,12804
201911,12866
201910,12674
201909,12479
201908,12385
201907,11823
201906,12060
201905,12113
201904,12123
201903,11892
201902,11669
201901,11856
201812,12038
201811,11999
201810,11631
201809,11498
201808,11361
201807,10891
201806,10649
201805,10460
201804,10510
201803,10504
201802,10281
201801,10018
201712,9973
201711,10071
201710,9653
201709,9512
201708,9248
201707,9235
201706,9107
201705,9183
201704,9100
201703,9162
201702,9103
201701,8863
201612,8798
201611,8897
201610,8834
201609,8534
201608,8676
201607,8646
201606,8654
201605,8823
201604,8869
201603,9089
201602,9056
201601,9197
201512,9263
201511,9322
201510,9396
201509,9478
201508,9415
201507,9442
201506,9354
201505,9474
201504,9655
201503,9585
201502,9507
201501,9383
201412,9561
201411,9317
201410,9256
201409,9078
201408,8914
201407,8846
201406,8747
201405,8644
201404,8522
201403,8291
201402,8152
201401,8072
201312,7928
201311,7916
201310,7757
201309,7836
201308,7531
201307,7523
201306,7276
201305,7325
201304,7371
201303,7203
201302,7147
201301,7081
201212,7097
201211,7074
201210,6963
201209,6593
201208,6346
201207,6422
201206,6266
201205,6365
201204,6322
201203,6325
201202,6266
201201,6170
201112,6046
201111,6034
201110,5901
201109,5614
201108,5664
201107,5439
201106,5587
201105,5622
201104,5558
201103,5615
201102,5403
201101,5494
201012,5607
201011,5575
201010,5631
201009,5616
201008,5447
201007,5298
201006,5379
201005,5401
201004,5392
201003,5515
201002,5553
201001,5404
200912,5452
200911,5395
200910,5524
200909,5559
200908,5418
200907,5398
200906,5269
200905,5377
200904,5278
200903,5219
200902,5239
200901,5144
200812,5103
200811,5078
200810,4738
200809,3974
200808,5003
200807,5177
200806,5138
200805,5143
200804,5180
200803,5189
200802,5148
200801,5115
200712,5111
200711,5034
200710,5022
200709,4902
200708,4970
200707,5038
200706,5075
200705,5211
200704,5180
200703,5119
200702,5118
200701,5108
200612,5186
200611,5064
200610,5108
200609,5031
200608,5040
200607,5094
200606,5163
200605,5151
200604,5082
200603,5027
200602,5032
200601,5048
200512,4988
200511,4857
200510,4555
200509,4214
200508,5198
200507,5253
200506,5442
200505,5596
200504,5563
200503,5601
200502,5501
200501,5446
200412,5510
200411,5423
200410,5170
200409,5081
200408,5325
200407,5484
200406,5407
200405,5556
200404,5560
200403,5617
200402,5572
200401,5585
200312,5571
200311,5547
200310,5614
200309,5609
200308,5574
200307,5498
200306,5659
200305,5663
200304,5726
200303,5803
200302,5783
200301,5755
200212,5722
200211,5624
200210,5358
200209,5411
200208,5796
200207,5751
200206,5884
200205,5905
200204,5844
200203,5886
200202,5881
200201,5873
200112,5887
200111,5881
200110,5746
200109,5709
200108,5725
200107,5749
